Date_Range,Event,embed_link,Drive_Link,Sketch_ID,tag1,tag2,tag3
5-29-19,Meeting with Luke,https://docs.google.com/document/d/e/2PACX-1vT7ttMoaJbaU2P6lpMqHFdINqzaEDT5ZKjSoNH8fJPmWZKS6_2Jxco6R_vXbHPofy7Xu6I6IZYZ9EKd/pub?embedded=true,https://drive.google.com/open?id=1sJaAYnN5YK26hbNBHmXzHAKXK5J2vNpMbFIrgDpwYGQ,null,domain,technology gap,
5-29-19,Sketchbook,null,null,529,sketch,brainstorm,
5-30-19,Draft Initial Requirements Document,https://docs.google.com/document/d/e/2PACX-1vRpBVsybu8CRfiQlS7nYC--Wtd4cO-cLQtpngLFJswZ3Ud_8cC0oEKRzGgxK0OyGqIxwk8Ogp8839xe/pub?embedded=true,https://drive.google.com/open?id=1uRb4cVgZUyC01McvBjhV_7fEbis2bcCD7bmwshlNUCY,null,brainstorm,analysis,
5-30-19,Sketchbook,null,null,530,sketch,brainstorm,
5-31-19,Sketching Tool Features,https://docs.google.com/document/d/e/2PACX-1vQDaf3lHYK5RuB3iPcUcp1-XSw7_8weGWBUEU9kEi4ViJA73gyBm1cJK9uLiVr5YrjTQV5xljOJvQGR/pub?embedded=true,https://drive.google.com/open?id=1jjTZkVTfjl-mfFX1HJ5hiGrXWJBPb4BMgEHzFjY7z14,null,brainstorm,,
5-31-19,Sketchbook,null,null,531,sketch,brainstorm,
6-1-19,Sketchbook,null,null,601,sketch,brainstorm,
6-3-19,Familiarizing Myself with the Domain Analysis workflow,https://docs.google.com/document/d/e/2PACX-1vSHUvUGhXhEWNGx8H-qStV3ZueMwfPpq82ZN_x23aHDRkaPIyG--AJvaGzjQLTBH3M1DafwoCGP5-xT/pub?embedded=true,https://drive.google.com/open?id=1lXoM4dGVmC60g5U62QqVYzbceGXRa2bbKkJk0w2i7vg,null,domain,,
6-5-19,Second Meeting with Daniel,https://docs.google.com/document/d/e/2PACX-1vQhVvWd5vW7xeDyu2a0VeRpYx7wpF0KcYuogIIPhntHNGG_tpsNWm-NyZPPGCqflKPLDNGRSyISgK9D/pub?embedded=true,https://docs.google.com/document/d/15TUE8RSdpjZQUhMG-0S-onVOwwtfH5uZT8ptzvjFaok/edit?usp=sharing,null,interview,,
6-6-19,Status check on progress with Roni and Curt,https://docs.google.com/document/d/e/2PACX-1vT-BTJUxgIneyAeNMQDdwOQSy_3GspyKXrw3mLf9dBmFbSRXx-0EYlN3qdRE4dRoQDhh8ufPSPhlrKZ/pub?embedded=true,https://drive.google.com/open?id=1gdqZy0Z8oSRcBZ4AyPZRsRtTNHjslcz1-2RR2eKvAuM,null,meeting/assesment,,
